
This hub-height turbulence-parameter file was generated by TurbSim (v2.00.07a-bjj, 14-Jun-2016) on 22-Dec-2020 at 21:03:03.

   Time      U       Uh       Ut        V        W        u'       v'       w'      u'w'     u'v'     v'w'     TKE      CTKE
   0.00    9.244    9.248    9.249    0.263   -0.172   -0.756    0.263   -0.172    0.130   -0.199   -0.045    0.335    0.121
   0.10    9.415    9.426    9.430    0.450   -0.288   -0.585    0.450   -0.288    0.168   -0.263   -0.129    0.314    0.169
   0.20    9.409    9.412    9.427    0.238   -0.529   -0.591    0.238   -0.529    0.312   -0.140   -0.126    0.342    0.182
   0.30    9.134    9.161    9.163    0.706   -0.179   -0.866    0.706   -0.179    0.155   -0.611   -0.127    0.640    0.322
   0.40    9.221    9.270    9.271    0.950   -0.068   -0.779    0.950   -0.068    0.053   -0.739   -0.065    0.756    0.372
   0.50    9.187    9.228    9.228    0.871    0.024   -0.813    0.871    0.024   -0.020   -0.708    0.021    0.710    0.354
   0.60    9.898    9.959    9.968    1.100    0.429   -0.102    1.100    0.429   -0.044   -0.112    0.472    0.702    0.243
   0.70   10.342   10.363   10.364    0.670    0.142    0.342    0.670    0.142    0.049    0.229    0.095    0.293    0.126
   0.80   10.014   10.015   10.020    0.075   -0.328    0.014    0.075   -0.328   -0.005    0.001   -0.025    0.057    0.013
   0.90    9.834    9.836    9.839   -0.203    0.262   -0.166   -0.203    0.262   -0.044    0.034   -0.053    0.069    0.038
   1.00   10.053   10.053   10.064    0.023    0.456    0.053    0.023    0.456    0.024    0.001    0.010    0.106    0.013
   1.10   10.378   10.385   10.387   -0.372   -0.220    0.378   -0.372   -0.220   -0.083   -0.141    0.082    0.165    0.091
   1.20   10.705   10.717   10.728   -0.503   -0.483    0.705   -0.503   -0.483   -0.341   -0.354    0.243    0.492    0.274
   1.30   10.689   10.700   10.744   -0.467   -0.976    0.689   -0.467   -0.976   -0.673   -0.322    0.455    0.823    0.437
   1.40   10.680   10.689   10.739   -0.445   -1.035    0.680   -0.445   -1.035   -0.704   -0.302    0.460    0.866    0.447
   1.50   10.941   10.943   10.961   -0.228   -0.630    0.941   -0.228   -0.630   -0.593   -0.214    0.144    0.667    0.323
   1.60   10.605   10.613   10.614    0.414   -0.133    0.605    0.414   -0.133   -0.080    0.250   -0.055    0.277    0.134
   1.70   10.177   10.201   10.219    0.694   -0.603    0.177    0.694   -0.603   -0.107    0.123   -0.419    0.439    0.225
   1.80   10.347   10.376   10.388    0.766   -0.517    0.347    0.766   -0.517   -0.180    0.266   -0.396    0.487    0.255
   1.90   10.310   10.324   10.355    0.538   -0.806    0.310    0.538   -0.806   -0.250    0.167   -0.433    0.517    0.264
   2.00   10.468   10.470   10.488    0.192   -0.607    0.468    0.192   -0.607   -0.284    0.090   -0.117    0.312    0.160
   2.10   10.385   10.403   10.427    0.620   -0.712    0.385    0.620   -0.712   -0.274    0.238   -0.441    0.520    0.286
   2.20   10.505   10.507   10.533    0.230   -0.731    0.505    0.230   -0.731   -0.369    0.116   -0.168    0.421    0.211
   2.30   11.200   11.203   11.225   -0.235   -0.706    1.200   -0.235   -0.706   -0.848   -0.282    0.166    0.997    0.454
   2.40   11.041   11.042   11.054    0.103   -0.521    1.041    0.103   -0.521   -0.543    0.107   -0.053    0.683    0.278
   2.50   10.626   10.631   10.645   -0.324   -0.554    0.626   -0.324   -0.554   -0.347   -0.203    0.180    0.402    0.220
   2.60   10.624   10.648   10.654   -0.717   -0.347    0.624   -0.717   -0.347   -0.217   -0.447    0.249    0.512    0.278
   2.70   10.443   10.448   10.449   -0.297    0.144    0.443   -0.297    0.144    0.064   -0.131   -0.043    0.153    0.076
   2.80   10.521   10.523   10.523   -0.182   -0.057    0.521   -0.182   -0.057   -0.030   -0.095    0.010    0.154    0.050
   2.90   10.695   10.696   10.702   -0.141   -0.357    0.695   -0.141   -0.357   -0.248   -0.098    0.050    0.315    0.136
   3.00   10.689   10.690   10.694   -0.105    0.306    0.689   -0.105    0.306    0.211   -0.073   -0.032    0.290    0.113
   3.10   11.111   11.113   11.118    0.178    0.335    1.111    0.178    0.335    0.372    0.197    0.059    0.689    0.213
