
This hub-height turbulence-parameter file was generated by TurbSim (v2.00.07a-bjj, 14-Jun-2016) on 22-Dec-2020 at 21:03:13.

   Time      U       Uh       Ut        V        W        u'       v'       w'      u'w'     u'v'     v'w'     TKE      CTKE
   0.00   18.393   18.394   18.394    0.225   -0.058   -1.607    0.225   -0.058    0.093   -0.362   -0.013    1.318    0.187
   0.10   18.765   18.775   18.777    0.598   -0.291   -1.235    0.598   -0.291    0.359   -0.738   -0.174    0.983    0.419
   0.20   18.787   18.787   18.803    0.180   -0.770   -1.213    0.180   -0.770    0.934   -0.219   -0.139    1.049    0.485
   0.30   18.271   18.305   18.305    1.107   -0.101   -1.729    1.107   -0.101    0.174   -1.914   -0.111    2.112    0.962
   0.40   18.472   18.540   18.540    1.591    0.100   -1.528    1.591    0.100   -0.153   -2.432    0.159    2.439    1.221
   0.50   18.427   18.483   18.485    1.441    0.265   -1.573    1.441    0.265   -0.417   -2.267    0.382    2.311    1.168
   0.60   19.854   19.945   19.972    1.904    1.047   -0.146    1.904    1.047   -0.153   -0.278    1.994    2.371    1.010
   0.70   20.750   20.777   20.783    1.067    0.490    0.750    1.067    0.490    0.368    0.800    0.523    0.971    0.512
   0.80   20.119   20.119   20.124   -0.091   -0.423    0.119   -0.091   -0.423   -0.050   -0.011    0.038    0.100    0.032
   0.90   19.777   19.787   19.800   -0.625    0.735   -0.223   -0.625    0.735   -0.164    0.140   -0.459    0.490    0.254
   1.00   20.223   20.223   20.255   -0.168    1.126    0.223   -0.168    1.126    0.251   -0.037   -0.189    0.672    0.158
   1.10   20.874   20.895   20.896   -0.935   -0.169    0.874   -0.935   -0.169   -0.147   -0.817    0.158    0.833    0.423
   1.20   21.528   21.560   21.570   -1.184   -0.647    1.528   -1.184   -0.647   -0.989   -1.809    0.767    2.078    1.100
   1.30   21.502   21.531   21.589   -1.107   -1.583    1.502   -1.107   -1.583   -2.379   -1.663    1.753    2.995    1.695
   1.40   21.487   21.513   21.579   -1.061   -1.686    1.487   -1.061   -1.686   -2.507   -1.577    1.789    3.090    1.730
   1.50   22.005   22.015   22.033   -0.634   -0.898    2.005   -0.634   -0.898   -1.801   -1.271    0.569    2.615    1.138
   1.60   21.342   21.351   21.351    0.630    0.071    1.342    0.630    0.071    0.095    0.846    0.045    1.101    0.426
   1.70   20.495   20.529   20.547    1.182   -0.846    0.495    1.182   -0.846   -0.419    0.585   -1.000    1.179    0.616
   1.80   20.828   20.871   20.881    1.327   -0.668    0.828    1.327   -0.668   -0.553    1.099   -0.886    1.446    0.758
   1.90   20.748   20.767   20.803    0.883   -1.228    0.748    0.883   -1.228   -0.919    0.661   -1.084    1.424    0.784
   2.00   21.055   21.056   21.072    0.208   -0.837    1.055    0.208   -0.837   -0.882    0.219   -0.174    0.928    0.463
   2.10   20.879   20.906   20.932    1.061   -1.045    0.879    1.061   -1.045   -0.918    0.933   -1.109    1.495    0.858
   2.20   21.104   21.107   21.134    0.302   -1.085    1.104    0.302   -1.085   -1.198    0.334   -0.328    1.244    0.643
   2.30   22.468   22.476   22.500   -0.604   -1.048    2.468   -0.604   -1.048   -2.586   -1.491    0.633    3.776    1.526
   2.40   22.139   22.139   22.150    0.073   -0.700    2.139    0.073   -0.700   -1.498    0.156   -0.051    2.536    0.754
   2.50   21.304   21.318   21.332   -0.760   -0.783    1.304   -0.760   -0.783   -1.021   -0.991    0.595    1.445    0.771
   2.60   21.286   21.341   21.345   -1.526   -0.401    1.286   -1.526   -0.401   -0.516   -1.963    0.612    2.073    1.060
   2.70   20.914   20.925   20.932   -0.692    0.539    0.914   -0.692    0.539    0.492   -0.632   -0.373    0.802    0.442
   2.80   21.052   21.057   21.057   -0.463    0.131    1.052   -0.463    0.131    0.138   -0.487   -0.061    0.669    0.255
   2.90   21.378   21.382   21.387   -0.379   -0.467    1.378   -0.379   -0.467   -0.644   -0.523    0.177    1.131    0.424
   3.00   21.351   21.353   21.368   -0.308    0.815    1.351   -0.308    0.815    1.101   -0.416   -0.251    1.292    0.602
   3.10   22.168   22.170   22.187    0.251    0.860    2.168    0.251    0.860    1.864    0.544    0.216    2.752    0.977
   3.20   21.966   22.008   22.039    1.374    1.152    1.966    1.374    1.152    2.265    2.700    1.583    3.539    1.931
   3.30   20.878   20.922   20.949    1.366    1.052    0.878    1.366    1.052    0.923    1.199    1.437    1.872    1.043
   3.40   21.434   21.435   21.437   -0.228   -0.304    1.434   -0.228   -0.304   -0.436   -0.327    0.069    1.101    0.275
   3.50   21.542   21.544   21.547    0.314    0.334    1.542    0.314    0.334    0.516    0.484    0.105    1.294    0.357
   3.60   22.799   22.799   22.806   -0.012   -0.601    2.798   -0.012   -0.601   -1.681   -0.035    0.007    4.096    0.840
   3.70   22.601   22.628   22.649   -1.094   -0.974    2.601   -1.094   -0.974   -2.534   -2.845    1.066    4.456    1.978
   3.80   21.847   21.873   21.994   -1.059   -2.306    1.847   -1.059   -2.306   -4.259   -1.955    2.441    4.924    2.642
   3.90   21.751   21.828   21.885   -1.829   -1.577    1.751   -1.829   -1.577   -2.763   -3.204    2.886    4.451    2.560
   4.00   22.533   22.590   22.594   -1.598   -0.433    2.533   -1.598   -0.433   -1.096   -4.047    0.691    4.578    2.125
   4.10   22.546   22.552   22.560   -0.505   -0.624    2.546   -0.505   -0.624   -1.588   -1.285    0.315    3.563    1.033
   4.20   22.531   22.547   22.547   -0.843    0.176    2.531   -0.843    0.176    0.446   -2.133   -0.149    3.574    1.092
   4.30   22.741   22.766   22.773   -1.058    0.556    2.741   -1.058    0.556    1.523   -2.901   -0.588    4.472    1.665
   4.40   22.416   22.456   22.466   -1.343    0.668    2.416   -1.343    0.668    1.615   -3.245   -0.898    4.043    1.867
   4.50   21.740   21.808   21.814   -1.718   -0.498    1.740   -1.718   -0.498   -0.867   -2.990    0.856    3.115    1.615
   4.60   21.986   21.987   22.056   -0.230   -1.742    1.986   -0.230   -1.742   -3.459   -0.458    0.402    3.516    1.756
   4.70   21.251   21.298   21.361   -1.420   -1.629    1.251   -1.420   -1.629   -2.038   -1.777    2.314    3.119    1.780
   4.80   21.214   21.227   21.280   -0.748   -1.506    1.214   -0.748   -1.506   -1.829   -0.908    1.126    2.151    1.166
   4.90   21.308   21.309   21.370    0.170   -1.620    1.308    0.170   -1.620   -2.118    0.222   -0.275    2.181    1.074
   5.00   20.538   20.541   20.697   -0.353   -2.538    0.538   -0.353   -2.538   -1.364   -0.190    0.895    3.427    0.821
   5.10   21.654   21.660   21.856   -0.499   -2.919    1.654   -0.499   -2.919   -4.828   -0.826    1.457    5.753    2.555
   5.20   20.708   20.716   20.789   -0.591   -1.740    0.708   -0.591   -1.740   -1.232   -0.419    1.029    1.940    0.830
   5.30   20.856   20.882   20.955   -1.054   -1.737    0.856   -1.054   -1.737   -1.486   -0.902    1.830    2.429    1.262
   5.40   19.755   19.790   19.852   -1.183   -1.570   -0.245   -1.183   -1.570    0.385    0.290    1.857    1.962    0.960
   5.50   19.932   20.035   20.106   -2.030   -1.681   -0.068   -2.030   -1.681    0.114    0.137    3.411    3.474    1.708
   5.60   18.871   18.933   19.062   -1.533   -2.215   -1.129   -1.533   -2.215    2.502    1.732    3.397    4.267    2.280
   5.70   19.625   19.666   19.805   -1.277   -2.336   -0.375   -1.277   -2.336    0.876    0.479    2.983    3.615    1.573
   5.80   19.265   19.278   19.288   -0.692   -0.628   -0.735   -0.692   -0.628    0.461    0.509    0.434    0.706    0.406
   5.90   18.822   18.823   18.838   -0.193   -0.755   -1.178   -0.193   -0.755    0.889    0.228    0.146    0.998    0.465
   6.00   19.313   19.339   19.432   -0.989   -1.901   -0.687   -0.989   -1.901    1.306    0.679    1.880    2.532    1.194
   6.10   19.355   19.403   19.544   -1.371   -2.340   -0.645   -1.371   -2.340    1.509    0.885    3.209    3.886    1.828
